activity_id,activity_name,park_id
0C0D142F-06B5-4BE1-8B44-491B90F93DEB,Park Film,6D82D070-995A-4524-A56E-C1CE182E7D9B
C8F98B28-3C10-41AE-AA99-092B3B398C43,Museum Exhibits,6D82D070-995A-4524-A56E-C1CE182E7D9B
09DF0950-D319-4557-A57E-04CD2F63FF42,Arts and Culture,3350C18C-8E07-487B-930E-37AD873D31AD
FAED7F97-3474-4C21-AB42-FB0768A2F826,Cultural Demonstrations,3350C18C-8E07-487B-930E-37AD873D31AD
13A57703-BB1A-41A2-94B8-53B692EB7238,Astronomy,3350C18C-8E07-487B-930E-37AD873D31AD
D37A0003-8317-4F04-8FB0-4CF0A272E195,Stargazing,3350C18C-8E07-487B-930E-37AD873D31AD
7CE6E935-F839-4FEC-A63E-052B1DEF39D2,Biking,3350C18C-8E07-487B-930E-37AD873D31AD
8D778629-F603-4C50-A121-6F4BB2FE2C4B,Road Biking,3350C18C-8E07-487B-930E-37AD873D31AD
42FD78B9-2B90-4AA9-BC43-F10E9FEA8B5A,Hands-On,3350C18C-8E07-487B-930E-37AD873D31AD
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,3350C18C-8E07-487B-930E-37AD873D31AD
B204DE60-5A24-43DD-8902-C81625A09A74,Living History,3350C18C-8E07-487B-930E-37AD873D31AD
237A1662-6018-4115-ABD1-B8CCF827E703,Historic Weapons Demonstration,3350C18C-8E07-487B-930E-37AD873D31AD
28880A5B-3D29-41AC-BD8B-24743E7A070F,First Person Interpretation,3350C18C-8E07-487B-930E-37AD873D31AD
DF4A35E0-7983-4A3E-BC47-F37B872B0F25,Junior Ranger Program,3350C18C-8E07-487B-930E-37AD873D31AD
0C0D142F-06B5-4BE1-8B44-491B90F93DEB,Park Film,3350C18C-8E07-487B-930E-37AD873D31AD
C8F98B28-3C10-41AE-AA99-092B3B398C43,Museum Exhibits,3350C18C-8E07-487B-930E-37AD873D31AD
24380E3F-AD9D-4E38-BF13-C8EEB21893E7,Shopping,3350C18C-8E07-487B-930E-37AD873D31AD
467DC8B8-0B7D-436D-A026-80A22358F615,Bookstore and Park Store,3350C18C-8E07-487B-930E-37AD873D31AD
09DF0950-D319-4557-A57E-04CD2F63FF42,Arts and Culture,A0B4CA5E-608A-4DF2-8EFB-E2E4619EA243
C0FFC3D5-0E74-4B6F-B69D-6F95B78906CE,Live Music,A0B4CA5E-608A-4DF2-8EFB-E2E4619EA243
CE84DEFA-D692-4165-96DF-D5FF56002E2F,Theater,A0B4CA5E-608A-4DF2-8EFB-E2E4619EA243
7CE6E935-F839-4FEC-A63E-052B1DEF39D2,Biking,A0B4CA5E-608A-4DF2-8EFB-E2E4619EA243
1DFACD97-1B9C-4F5A-80F2-05593604799E,Food,A0B4CA5E-608A-4DF2-8EFB-E2E4619EA243
C6D3230A-2CEA-4AFE-BFF3-DC1E2C2C4BB4,Picnicking,A0B4CA5E-608A-4DF2-8EFB-E2E4619EA243
B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours,A0B4CA5E-608A-4DF2-8EFB-E2E4619EA243
A0631906-9672-4583-91DE-113B93DB6B6E,Self-Guided Tours - Walking,A0B4CA5E-608A-4DF2-8EFB-E2E4619EA243
B204DE60-5A24-43DD-8902-C81625A09A74,Living History,A0B4CA5E-608A-4DF2-8EFB-E2E4619EA243
28880A5B-3D29-41AC-BD8B-24743E7A070F,First Person Interpretation,A0B4CA5E-608A-4DF2-8EFB-E2E4619EA243
AE3C95F5-E05B-4A28-81DD-1C5FD4BE88E2,Surfing,A0B4CA5E-608A-4DF2-8EFB-E2E4619EA243
C8F98B28-3C10-41AE-AA99-092B3B398C43,Museum Exhibits,A0B4CA5E-608A-4DF2-8EFB-E2E4619EA243
071BA73C-1D3C-46D4-A53C-00D5602F7F0E,Boating,34CB30BA-8A5F-4563-AA34-6633708DD9DC
E0E4CE55-3119-46DE-86EB-6817CD8D5F30,Motorized Boating,34CB30BA-8A5F-4563-AA34-6633708DD9DC
7503433C-3856-4E82-AFF3-0B1649766ED3,Jet Skiing,34CB30BA-8A5F-4563-AA34-6633708DD9DC
A59947B7-3376-49B4-AD02-C0423E08C5F7,Camping,34CB30BA-8A5F-4563-AA34-6633708DD9DC
4A58AF13-E8FB-4530-B41A-97DF0B0C77B7,Backcountry Camping,34CB30BA-8A5F-4563-AA34-6633708DD9DC
7CFF5F03-5ECC-4F5A-8572-75D1F0976C0C,Group Camping,34CB30BA-8A5F-4563-AA34-6633708DD9DC
C5C5971C-E325-4CEB-8C81-EE49A881DF17,RV Camping,34CB30BA-8A5F-4563-AA34-6633708DD9DC
AE42B46C-E4B7-4889-A122-08FE180371AE,Fishing,34CB30BA-8A5F-4563-AA34-6633708DD9DC
